#{"t_start": 1747756765.8528306, "env_id": "None"}
r,l,t
-1.0,1,31.560085
-1.0,1,31.573211
-1.1,2,31.600443
-1.0,1,31.619663
-0.8,3,31.659368
1.1,6,31.734171
-1.0,1,31.754895
-1.2,3,31.793865
-1.1,2,31.824087
-1.0,1,31.852227
-0.9,2,31.884266
-1.0,1,31.903917
-1.1,2,31.934672
-0.9,6,32.01442
-1.0,1,32.037014
-1.0,1,32.053286
-1.0,1,32.074155
-1.0,1,32.091968
-1.0,1,32.111191
-1.2,3,32.150923
-1.0,1,32.170454
-1.0,1,32.188176
-1.0,1,32.206707
-1.0,1,32.224958
-1.0,1,32.247803
-1.0,1,32.269124
-1.0,1,32.284421
-1.0,1,32.309022
-1.1,4,32.355591
-1.0,1,32.370512
-1.0,1,32.389643
-1.0,1,32.407922
-1.0,1,32.426611
-1.0,1,32.443721
-1.0,1,32.466789
-1.0,3,32.504462
-1.0,1,32.529268
-1.2,3,32.558519
-0.9,2,32.589479
-1.0,1,32.609509
-1.0,1,32.62865
-0.9,2,32.663959
-1.0,1,32.682887
-0.9,2,32.709846
-1.0,1,32.728484
-1.0,1,32.748508
-1.0,1,32.76353
-1.1,2,32.794398
-0.7,4,32.84861
-1.0,1,32.864978
-1.0,5,32.927755
-1.0,1,32.945929
-0.9,2,32.973117
-1.0,3,33.01279
-1.0,1,33.042334
-1.0,1,33.059447
-0.9,2,33.091542
-1.0,1,33.108694
-1.1,2,33.139358
-1.0,1,33.153564
-1.0,1,33.168405
-1.1,2,33.19404
-1.1,2,33.223204
-1.2,3,33.256404
-1.0,1,33.274174
-1.0,1,33.29443
-0.9,2,33.327877
-1.0,1,33.34678
-1.0,1,33.36451
-1.0,1,33.380935
-0.9,4,33.435917
-1.0,1,33.454633
-1.0,3,33.493994
-1.0,1,33.515249
-1.0,7,33.59995
-1.0,1,33.61769
-1.0,1,33.633772
-1.1,4,33.679374
-1.1,4,33.734044
-1.0,1,33.755188
-1.0,1,33.774485
-0.9,2,33.801826
-1.1,2,33.832955
-0.9,2,33.858657
-1.0,1,33.880073
-1.0,1,33.904824
-1.0,1,33.927017
-0.8,3,33.969157
-1.2,3,34.009212
-1.0,1,34.02934
-1.0,1,34.04876
-1.2,3,34.085948
-1.2,3,34.122827
-0.9,2,34.148664
-1.0,1,34.168784
-1.1,2,34.203561
-1.4,7,34.284112
-1.0,3,34.324952
-1.0,1,34.346577
-1.0,1,34.365237
-1.0,1,34.38238
-1.0,1,34.401439
-1.0,1,34.418506
-1.0,1,34.436819
-1.0,5,34.503883
-1.0,1,34.524364
-1.0,1,34.543993
-0.9,2,34.575693
-1.3,4,34.634704
-1.1,6,34.717813
-1.0,3,34.77561
-1.1,2,34.811502
-1.1,2,34.842742
-1.0,1,34.860428
-1.0,5,34.921039
-1.0,1,34.936816
-1.0,1,34.95917
-0.9,2,34.983471
-0.7,4,35.054288
-1.1,2,35.096204
-0.9,2,35.124804
-0.9,2,35.169637
-1.0,1,35.18982
-1.0,1,35.214477
-1.1,2,35.244926
-1.0,1,35.269115
-1.0,5,35.346576
-1.0,1,35.367118
-1.2,3,35.401505
-1.1,2,35.430008
-1.0,1,35.455692
-1.0,1,35.473815
-1.0,5,35.553733
1.1,2,35.57536
-1.0,1,35.594066
-1.0,3,35.640834
-1.0,1,35.661783
-1.0,1,35.685293
-1.0,1,35.712198
-0.9,2,35.74764
-0.8,3,35.795152
-1.0,1,35.814821
-1.0,1,35.8309
-1.0,3,35.868763
-1.0,1,35.890002
-1.0,1,35.908937
-1.0,1,35.928868
-1.0,1,35.943568
-1.0,1,35.965358
-1.0,1,35.984235
-0.9,2,36.014446
-1.0,1,36.034576
-1.0,1,36.052791
-1.0,1,36.069707
-1.0,1,36.088858
-1.0,1,36.108454
-1.0,1,36.129616
-1.1,2,36.164749
-1.0,3,36.198746
-0.9,2,36.228939
-1.0,1,36.242678
-1.0,1,36.260387
-1.0,1,36.278943
-1.0,1,36.298611
-1.0,1,36.318402
-1.0,1,36.335161
-1.0,1,36.35153
-1.0,1,36.370033
1.0,1,36.390666
1.0,1,36.407257
-0.9,2,36.433617
-0.9,2,36.463152
-1.0,1,36.483815
-1.0,5,36.543457
-1.0,1,36.559841
-1.2,3,36.606215
-1.0,3,36.644531
-1.2,5,36.708592
-1.1,2,36.739503
-1.0,1,36.764088
-1.0,1,36.783657
-1.0,1,36.806661
-1.0,1,36.824849
-1.1,2,36.854203
-1.0,1,36.873391
-1.1,2,36.898253
-1.0,1,36.915179
-1.0,1,36.933961
-1.0,1,36.954095
-0.9,2,36.979471
-1.0,1,37.000192
-1.0,1,37.014105
-1.0,1,37.039205
-1.0,1,37.062422
-1.0,1,37.085545
-1.1,4,37.139685
-0.9,2,37.168555
-1.0,5,37.231034
-0.9,6,37.299152
-1.0,1,37.313498
-1.0,1,37.33284
-1.0,1,37.349031
-1.0,3,37.390488
-1.1,2,37.418775
-0.9,2,37.448804
-0.9,2,37.478499
-1.1,4,37.523037
-1.0,1,37.543258
-1.0,1,37.559219
-1.0,1,37.578844
-1.1,2,37.612305
-1.1,2,37.642397
-1.1,2,37.680516
-1.0,1,37.698857
-1.0,1,37.725305
-0.9,2,37.759526
-0.9,2,37.793947
-1.0,1,37.809283
-0.5,8,37.909529
-1.0,3,37.949028
-1.0,1,37.972974
-1.0,1,37.994386
-1.0,1,38.014332
-1.0,1,38.036704
-1.0,1,38.058371
-1.0,1,38.078473
-1.0,1,38.093579
-1.0,1,38.110744
-1.0,1,38.134237
-0.8,3,38.174932
-1.0,1,38.195594
-1.0,1,38.219807
-1.1,2,38.243624
-1.0,1,38.262427
-1.0,1,38.279591
-1.2,3,38.320523
-1.0,3,38.362303
-1.0,1,38.384201
-1.0,1,38.406939
-1.0,1,38.424049
